geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_sdPc_change
cln3	7.38887228432533	-5.57011189880654	1.82778416225566	-3.04746698971967	0.00230778872088435	0.00727166221925178	depleted in absence of sd and Pc
CG5577	33.9007354987518	-1.29809996139253	0.535461764301837	-2.42426266063099	0.0153395063742869	0.0377606155361712	depleted in absence of sd and Pc
CR45175	4.7383590271568	-2.82194434680016	0.909235903833021	-3.10364376824962	0.00191153336922678	0.00616654113621896	depleted in absence of sd and Pc
CG5535	419.644612538257	1.05092780412922	0.158872123604764	6.61492891442474	3.7173033065046e-11	5.12895500935982e-10	enriched in absence of sd and Pc
CG7402	25.6843967783042	-6.15745327045949	1.42492191277628	-4.3212566353636	1.55143101716485e-05	8.32853760640406e-05	depleted in absence of sd and Pc
CG44004	29.9961637559033	-1.65279128017011	0.378839338822102	-4.36277627690148	1.28422253597953e-05	7.04736151537778e-05	depleted in absence of sd and Pc
CG34253	16.5706021706006	-7.02992260315274	1.63737452165461	-4.29341150126657	1.75948466048955e-05	9.29272283597594e-05	depleted in absence of sd and Pc
Cyp312a1	21.3857087468292	-2.83320630718399	0.853241977675347	-3.32051912741453	0.000898502019961049	0.00315313173324088	depleted in absence of sd and Pc
geko	194.541782724972	-1.55780284529194	0.244803794062622	-6.36347508933398	1.97239394695172e-10	2.50943637672311e-09	depleted in absence of sd and Pc
CG13699	11.0242455473896	-1.4455615182125	0.584275687754313	-2.47410862459223	0.0133569078474549	0.0334736406727621	depleted in absence of sd and Pc
CG7320	48.9943719183131	-5.47653980142457	1.51805216226983	-3.6076097630505	0.000309030817582282	0.00122280202739095	depleted in absence of sd and Pc
rpr	329.266662458381	2.32861383062926	0.182530699438681	12.7573818420146	2.83572762575701e-37	5.52568890162862e-35	enriched in absence of sd and Pc
CG32198	553.774264309524	-6.13134597736061	1.10575548342974	-5.54493834237465	2.9405777311101e-08	2.70372490558277e-07	depleted in absence of sd and Pc
GNBP2	173.513317516488	2.39812486161488	0.190537695563405	12.5860914530525	2.51837669019657e-36	4.82269136172644e-34	enriched in absence of sd and Pc
Cyp12c1	27.6085617934616	-2.07831064186749	0.744893777012676	-2.79007652635031	0.00526955846901027	0.0150305562186176	depleted in absence of sd and Pc
CR32027	57.6035677152167	1.55665721103756	0.416846428733336	3.73436619276731	0.00018818851118743	0.000786384422031145	enriched in absence of sd and Pc
CG6865	26.6112061055417	-4.87348223217285	1.40327738761943	-3.47292864202737	0.000514812211713474	0.00192915628728123	depleted in absence of sd and Pc
CG3961	689.214869038534	-1.55836020041176	0.167067690512717	-9.32771737987924	1.08175412540736e-20	4.90409921261208e-19	depleted in absence of sd and Pc
NijB	11.0835391836702	-1.65544284104068	0.632613464124925	-2.61683150125583	0.00887501397376142	0.0236162226316559	depleted in absence of sd and Pc
CG3819	5.33540946402962	-6.36173167270005	2.36757515225789	-2.68702417603642	0.00720917346187437	0.0197282846019483	depleted in absence of sd and Pc
CG32204	31.937449844515	2.13560471636934	0.613014024685878	3.4837779077953	0.000494389552840764	0.00186394594820175	enriched in absence of sd and Pc
CG14075	194.338924414305	-2.83357816389539	1.19562467508896	-2.36995624373892	0.0177901905338034	0.0427418659439659	depleted in absence of sd and Pc
CG9629	134.918023468777	-2.06542676720176	0.332371230899941	-6.21421643988058	5.15813890570373e-10	6.19367014331366e-09	depleted in absence of sd and Pc
CG14089	2.99520310905562	-5.8897590420257	1.84410669848554	-3.19382769275912	0.00140399890698151	0.00468013681267815	depleted in absence of sd and Pc
CR45732	18.6775115480482	2.23347640348871	0.527605828895324	4.23322920477406	2.30359516885407e-05	0.000118103391434823	enriched in absence of sd and Pc
CG9449	100.800742205886	-2.3513840186143	0.473504908047602	-4.96591266246793	6.8378724852604e-07	4.89042174460961e-06	depleted in absence of sd and Pc
CG9451	12.8124781067687	-2.70938945872587	1.06179126692884	-2.55171571203689	0.0107193944716889	0.0278048375518564	depleted in absence of sd and Pc
CG9452	5.94999942688054	-4.06162743477794	1.33263016569556	-3.04782792655605	0.0023050187573591	0.00726499527184663	depleted in absence of sd and Pc
Cpr76Bc	2.14312290567057	4.3159760539106	1.70943850327899	2.52479164686641	0.0115766902067811	0.0296614297870168	enriched in absence of sd and Pc
Oat	201.042922952351	-2.25212523260148	0.502160097562324	-4.48487493039401	7.29567153383586e-06	4.22928098780349e-05	depleted in absence of sd and Pc
tey	172.668702489919	5.17379379028484	0.293174801675099	17.6474709310745	1.064161180247e-69	1.31329313655594e-66	enriched in absence of sd and Pc
Gbeta76C	18.4794678562802	2.89240307109498	0.610102846246648	4.74084507044844	2.12828636775448e-06	1.36640905703173e-05	enriched in absence of sd and Pc
Cyp305a1	4.18891352995279	-3.05770319556411	0.993417286173477	-3.07796455540049	0.00208419703145442	0.00665466046945476	depleted in absence of sd and Pc
Gabat	367.607330276929	-1.16779400750763	0.422604201134974	-2.76332796591072	0.0057215244552997	0.0161373723019334	depleted in absence of sd and Pc
CG7328	50.796556503888	-2.20947288450596	0.305160113205708	-7.2403724762566	4.47454144092871e-13	8.20111085551076e-12	depleted in absence of sd and Pc
CG17145	2.74387101734842	-5.67080945717053	2.29695405439413	-2.46883887221085	0.0135552238969053	0.0339094305907493	depleted in absence of sd and Pc
rdgC	83.0052380517251	1.45295777160783	0.261965707960985	5.54636628937795	2.91667482931426e-08	2.68619463757823e-07	enriched in absence of sd and Pc
CG5618	167.797429809487	-2.97648517779529	0.242067019685885	-12.2961202300821	9.50301123795459e-35	1.52970935970959e-32	depleted in absence of sd and Pc
Toll-9	4.90082922369019	-2.96910528949972	1.09753532201444	-2.70524804983057	0.00682534022210355	0.0188018486723472	depleted in absence of sd and Pc
CR43944	33.2757089044597	1.27231871737247	0.385028921887138	3.30447570311462	0.0009515422337844	0.00331414148339057	enriched in absence of sd and Pc
zye	51.9920378345331	-2.23046287891751	0.59363683363839	-3.75728518267144	0.000171766708384948	0.000724221194734152	depleted in absence of sd and Pc
ZnT77C	157.400471787741	-1.01768048810778	0.270097520145211	-3.7678261079948	0.00016467534460106	0.00069837688143718	depleted in absence of sd and Pc
Rcd2	133.136684652516	1.72654871155379	0.239113595205172	7.22062127028923	5.17505958818015e-13	9.3767352114057e-12	enriched in absence of sd and Pc
CG10512	114.184289426137	-1.75288924753837	0.345665548837768	-5.07105568788129	3.95614977718452e-07	2.96898348481003e-06	depleted in absence of sd and Pc
Eip78C	426.766199343695	-1.43251290883633	0.621682711934105	-2.30425083621783	0.0212085670145399	0.0494465898048898	depleted in absence of sd and Pc
Cpr78Ca	11.9429819409499	-5.85710370896791	1.46770566885959	-3.99065278089365	6.58916867399507e-05	0.000307633024220527	depleted in absence of sd and Pc
CG33288	25.3174129333778	1.91623518848444	0.579521085937476	3.30658406567658	0.000944410078549009	0.00329135950500278	enriched in absence of sd and Pc
Alp1	121.518778798826	-5.2488352940951	0.864135782665796	-6.07408627137604	1.24695680871634e-09	1.40257460179581e-08	depleted in absence of sd and Pc
Est-Q	1.89500728316415	-4.07334613882584	1.59842077471837	-2.54835660500192	0.0108231771917836	0.0280282184819634	depleted in absence of sd and Pc
CG7173	91.2752730501177	2.73901079126423	0.363231028156448	7.54068507078228	4.67508900956939e-14	9.74225396421899e-13	enriched in absence of sd and Pc
Cpr78E	157.955909970936	-1.60515568393105	0.327909437075624	-4.89511890309173	9.82463079740222e-07	6.77356761432318e-06	depleted in absence of sd and Pc
CG11249	7.10907146141342	2.21038519410436	0.808050941723374	2.73545277899206	0.00622945234762015	0.0174151843002812	enriched in absence of sd and Pc
