geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_PcKD_change
JhI-26	40.8862238284634	-1.79865847402734	0.610828889805513	-2.94461919540189	0.00323352369043841	0.0185827812086306	depleted in absence of Pc
Nox	575.554053660892	1.29156500339436	0.107501397002038	12.0144020395369	2.98521181301974e-33	1.79832671630207e-30	enriched in absence of Pc
RpLP2	25583.5920629357	1.02490748447585	0.110747177772768	9.25447948279788	2.15276740752437e-20	4.33223553927415e-18	enriched in absence of Pc
Idgf6	1369.62631215715	-1.09827211829312	0.374399101472446	-2.93342615934121	0.00335243387448281	0.0191266157707958	depleted in absence of Pc
fat-spondin	248.14140727251	1.46509062252742	0.257025921473053	5.70016679302527	1.19690263085989e-08	3.87894931728992e-07	enriched in absence of Pc
CG34193	53.6163529165647	-1.0388403172397	0.340528122739996	-3.05067407907714	0.00228328277680204	0.0139019613063197	depleted in absence of Pc
Uhg1	446.331154961191	-1.04482354642796	0.150991400468467	-6.91975531842396	4.52424390842688e-12	2.63254442421589e-10	depleted in absence of Pc
CG5002	52.2710381655919	-1.32543495040798	0.503266356278796	-2.63366492488864	0.00844688015337944	0.0399374421286975	depleted in absence of Pc
PPO1	1853.66480933028	-1.0437964817488	0.232409059146101	-4.49120393836554	7.08216964552127e-06	0.000108738379819765	depleted in absence of Pc
GstE2	13.4867538963527	-2.27479630193735	0.808945623365681	-2.81205094166018	0.00492267063825473	0.0260494914174221	depleted in absence of Pc
tn	116.243700131828	-1.25729060300232	0.45833287723401	-2.743182227271	0.0060846908692542	0.0306735693317976	depleted in absence of Pc
rib	5.88969939500944	4.24987857702576	1.3645899800503	3.114399665216	0.00184319633551243	0.0116735767915787	enriched in absence of Pc
Obp56a	430.600102085833	-3.3097844863447	0.678684844570928	-4.87676203884763	1.07841399453827e-06	2.11395235988049e-05	depleted in absence of Pc
Obp56e	31.6466935916783	-5.77496142104913	1.07058320303755	-5.39422008925969	6.88218199721464e-08	1.82119963393993e-06	depleted in absence of Pc
Cpr56F	49.4036929110177	-2.39966610504129	0.649599292109407	-3.69407130547971	0.000220691871939119	0.00206026021926027	depleted in absence of Pc
dpr1	103.968835334658	-2.09126759356113	0.232761170362804	-8.98460679803885	2.59661081027637e-19	4.43198188467339e-17	depleted in absence of Pc
CR44660	3.36759483198399	-6.38360033009814	1.7229726573878	-3.70499224275348	0.000211397202158259	0.00198071248609582	depleted in absence of Pc
CG17974	2.31726081212998	-5.84358883995592	1.8746720688817	-3.11712588935184	0.00182623569607608	0.011587657846044	depleted in absence of Pc
VepD	46.3413424609237	1.50341176342175	0.299074094640242	5.0268872843374	4.98505158403386e-07	1.0547915965308e-05	enriched in absence of Pc
CG30195	52.557613891183	1.02035044519093	0.334038062644382	3.05459335116908	0.00225365865672925	0.0137461097698417	enriched in absence of Pc
CG30196	40.4115081464685	-1.32514321327564	0.460798146671026	-2.87575638671501	0.00403060659071303	0.0221386706240372	depleted in absence of Pc
Obp58c	3.48957720544445	-6.3319571091425	1.59511266821349	-3.96959865928106	7.19937929470551e-05	0.000793636634629485	depleted in absence of Pc
CG9877	41.9992663430913	-3.11795431354245	0.726343799921959	-4.29267010178576	1.7653720880847e-05	0.000244643782869762	depleted in absence of Pc
CG13545	10.9393606743792	-7.10484416402936	1.51583713385866	-4.68707620715395	2.77135792072344e-06	4.76199269565918e-05	depleted in absence of Pc
CG34371	1970.49646283567	1.09975010048451	0.0675020046214067	16.2921102366158	1.12286966271923e-59	1.14993082159076e-55	enriched in absence of Pc
CG34423	25.326106578609	-2.9830870417898	0.548826876386283	-5.43538804336943	5.4677307918538e-08	1.5133792172804e-06	depleted in absence of Pc
CG13560	289.486044666533	-4.76880373492167	1.44995936028806	-3.28892234191602	0.00100571768826252	0.00716740072755492	depleted in absence of Pc
CR44807	22.7404645175932	-1.09153396772576	0.366079605396415	-2.98168472549509	0.00286667044700093	0.0168045632786128	depleted in absence of Pc
CG5597	35.1364710798367	-1.57085535447707	0.564504385052885	-2.78271594706905	0.0053905978357718	0.0278954585326625	depleted in absence of Pc
CR44811	77.6352258158326	1.16621372391605	0.418230759972003	2.78844560355657	0.00529616407697444	0.0275175451166282	enriched in absence of Pc
SerT	8.45674891666651	-2.70309109955554	0.86345943802191	-3.13053628291797	0.00174487443337104	0.011175271464761	depleted in absence of Pc
Cyp9c1	535.350902358341	2.47058901974574	0.278827914374464	8.86062295910501	7.95685471134312e-19	1.27322107966976e-16	enriched in absence of Pc
Mmp1	1523.24083994139	1.56359519659473	0.128327776379908	12.1843862700915	3.76476739521798e-34	2.40968643090171e-31	enriched in absence of Pc
Lcp9	94.0240943765736	-3.06790825306634	0.908023617459161	-3.37866570216641	0.000728385216857754	0.0055750321418836	depleted in absence of Pc
CR43257	52.6399894946881	-1.8824696692918	0.284546721825	-6.61567863870716	3.69851050533155e-11	1.88440030274132e-09	depleted in absence of Pc
CG30427	14.8799111660197	-1.31864799013657	0.485419707092311	-2.71651103338044	0.00659739961598576	0.0326869711985052	depleted in absence of Pc
CG3829	68.1492388309056	-1.2009952086632	0.447724965250429	-2.68243967139835	0.00730873328209804	0.0356252915478182	depleted in absence of Pc
Kr	102.417339570855	1.53596570110347	0.452618284538927	3.39351226755704	0.000690024678419323	0.00534304643170406	enriched in absence of Pc
CG6845	284.051062786305	-1.32167349395629	0.152271528352253	-8.67971516578488	3.96761196273008e-18	5.72286114229842e-16	depleted in absence of Pc
Kaz1-ORFB	22.6103328571315	-2.03110117318118	0.68165021797591	-2.97968242306491	0.00288547362112483	0.0169021479164556	depleted in absence of Pc
mthl14	29.2302611870307	-1.22304414656823	0.353399645280778	-3.46079619179164	0.000538580391418339	0.00433275867126097	depleted in absence of Pc
CR43785	15.4437809299205	1.54320416374988	0.483903572788688	3.18907371329487	0.00142729477089346	0.0095038528925357	enriched in absence of Pc
Gr61a	37.4102151589407	2.46288308745551	0.482484200757959	5.10458805404705	3.31515884067955e-07	7.42900255741778e-06	enriched in absence of Pc
cep290	22.9394426025121	1.67797571093465	0.51406696105241	3.26411895349092	0.00109805053625622	0.00765495952471064	enriched in absence of Pc
CG9119	154.320543915732	-1.34760399533168	0.193818809632184	-6.95290615956767	3.57836735335999e-12	2.10609540607814e-10	depleted in absence of Pc
CG9192	276.944863196659	2.37797986742623	0.930729398350329	2.55496374310415	0.010619885932879	0.0477219183144423	enriched in absence of Pc
CR45812	6.06308718548297	-4.00012151241726	1.46898084097242	-2.72305900856358	0.00646805038747104	0.0322332379650077	depleted in absence of Pc
CG7991	471.52612578678	1.10164259988568	0.127231926788859	8.65853899795024	4.7784916147223e-18	6.6130449495096e-16	enriched in absence of Pc
CG42494	7.47510233131489	-1.92924045180791	0.688742645916978	-2.80110497476073	0.00509279494874674	0.0266370342544001	depleted in absence of Pc
CG14966	239.962328598703	1.00800028223323	0.123016671709676	8.19401360989631	2.526564776662e-16	2.90725279525792e-14	enriched in absence of Pc
Drsl5	56.2145594039168	-4.40292715035994	1.15209333576262	-3.82167573901071	0.000132547904828411	0.0013400030536503	depleted in absence of Pc
Drs	39.0031403738818	-3.35939784451273	1.08349838053725	-3.10051025904348	0.00193187521400322	0.012089837021728	depleted in absence of Pc
CG14984	534.346639849309	-1.06563002726386	0.197737704550712	-5.38910891923787	7.08078844699135e-08	1.86892666200099e-06	depleted in absence of Pc
CG12605	88.4747149201936	1.14412894483387	0.418712681867693	2.73249174047085	0.00628572474805294	0.0314316929418018	enriched in absence of Pc
Cpr64Aa	91.3797431809081	1.75939590965673	0.578365838597362	3.04201215259113	0.00235002406519851	0.0142574623529016	enriched in absence of Pc
CG12607	26.4200681114907	-6.33677175483135	0.998495505072657	-6.34631976071864	2.20526635014496e-10	1.01274137631545e-08	depleted in absence of Pc
CG32249	161.303637579715	-2.54823858901731	0.928186474484325	-2.7453950893144	0.00604380878788067	0.0305350990610192	depleted in absence of Pc
CG11349	39.4368148272266	-2.52598038389132	0.666454431108573	-3.79017719139421	0.000150539858070335	0.00148954462463604	depleted in absence of Pc
CG7465	277.07744543175	-6.13654556150061	0.767069366073089	-7.99998778847845	1.24431551271622e-15	1.24931717311047e-13	depleted in absence of Pc
CG11350	4.98489775473508	-5.04116691783809	1.68941014291232	-2.98398049697263	0.00284524906868435	0.0166885427906051	depleted in absence of Pc
CG13722	87.1729040349445	-1.36173813622605	0.320173467658005	-4.25312611374969	2.10806774329663e-05	0.000284436386812922	depleted in absence of Pc
CG15212	114.130357221338	-1.92130435956649	0.221665221676014	-8.66759496613623	4.41343495248284e-18	6.26532178848513e-16	depleted in absence of Pc
CG13285	23.4375227252474	-3.14162554356905	1.17470748615088	-2.67438965070622	0.00748654099647821	0.0363019253527146	depleted in absence of Pc
Tektin-C	54.4194176561759	-3.16091004639916	1.13891928718445	-2.77535913384462	0.00551407807228271	0.0284052683794	depleted in absence of Pc
CG10472	6.19422905721354	-2.3026844586819	0.835521548325608	-2.75598452642724	0.00585157651376777	0.0298139278992516	depleted in absence of Pc
Cpr65Av	2.26605680992801	-5.70211582512553	1.60944543152469	-3.54290721104081	0.000395741919049047	0.00334941569667875	depleted in absence of Pc
