geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_vgPc_change
Phae1	1.70498427287584	-5.12525225858342	2.16770688299647	-2.36436591071699	0.0180609641204243	0.0464144212136865	depleted in absence of Pc and vg
bru1	40.1253469095274	-1.13015637337012	0.467653528325161	-2.41665315221212	0.0156639351372078	0.0412762342986874	depleted in absence of Pc and vg
bru2	67.4354900332351	-1.13842184544304	0.395804259244447	-2.87622434285113	0.00402463553952788	0.0132724545539003	depleted in absence of Pc and vg
CG5418	11.5035577638778	-4.7890351133949	0.997542231797005	-4.80083445165802	1.58005850166241e-06	1.28100071372003e-05	depleted in absence of Pc and vg
nub	787.944859468818	3.5318877430488	0.157553008472513	22.417139331649	2.67856207906503e-111	7.43769725304382e-108	enriched in absence of Pc and vg
pdm2	112.049527024955	3.57361859836791	0.302924559473733	11.7970580020858	4.04196915043935e-32	6.50639874694635e-30	enriched in absence of Pc and vg
PICK1	72.3803514362907	-1.1118394920678	0.225735995027614	-4.92539744019022	8.4189059189053e-07	7.24312843077314e-06	depleted in absence of Pc and vg
CG15484	31.104047495858	1.75967760400943	0.495514620398643	3.55121227824471	0.000383461001613138	0.00174338982599964	enriched in absence of Pc and vg
CG5458	4.83371061217929	-2.72592969361498	0.999172857110597	-2.72818629350863	0.0063683631340757	0.0194536329290921	depleted in absence of Pc and vg
CG16820	72.3231481765795	-2.80703629305216	0.396329181131182	-7.08258797659175	1.41486879734217e-12	3.1876161728356e-11	depleted in absence of Pc and vg
l(2)k05911	584.220716209701	-1.77012783626938	0.313416851850497	-5.6478387355947	1.62477477598198e-08	1.93215989687708e-07	depleted in absence of Pc and vg
CG16824	9.42571460887699	-5.53079648991679	1.30873186621045	-4.22607306562476	2.37804804564525e-05	0.000147889023756897	depleted in absence of Pc and vg
CG10859	3.99825141828868	-2.958362838304	1.0437296324994	-2.83441491569007	0.00459096814586582	0.01480170774924	depleted in absence of Pc and vg
CG33640	4.56134227995834	-6.46250527134609	1.75888539223202	-3.67420486854188	0.000238591244713925	0.00115268941062965	depleted in absence of Pc and vg
