geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
CG31269	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG31265	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG17475	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG4053	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG31266	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG31267	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG14324	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG14326	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG14292	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG3734	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG18493	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG6255	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG11453	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG4465	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG4836	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG10887	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG4367	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG4362	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG15696	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG10827	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG5892	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG31343	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG31233	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG31198	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG42335	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG5379	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG13857	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG7045	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG6660	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG10182	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
